rowCol,traffic_spot,industry,commercial,nala
50.0,"(0, 4)",2.9505514524689085,11.206355237874899,0.0004799150635694743,0.00659715841163821
51.0,"(0, 3)",2.754059680524543,11.612252194425976,0.00044527203009804214,0.006402178199262774
52.0,"(0, 2)",2.9487996526441345,12.09109339990292,0.00041260436383332665,0.006194876921369533
53.0,"(0, 1)",3.0052484338775884,12.666351136986759,0.000383143805187307,0.0059789984859940784
67.0,"(1, 5)",3.018664268318265,10.78992339019162,0.0005936977074808212,0.007300014729278553
68.0,"(1, 4)",2.960442843101398,11.133092927120021,0.000539056480164348,0.007085393483866417
69.0,"(1, 3)",2.9389929865656135,11.53218654237539,0.00048752716715940597,0.006852913190435263
70.0,"(1, 2)",2.9728244824164336,12.006790993262676,0.00044362331468639335,0.0066066229842044084
71.0,"(1, 1)",3.0008242617469802,12.581553307907381,0.00040670245796627937,0.006351350988368806
84.0,"(2, 6)",3.1454269026936124,10.420808524055188,0.0008198785877433042,0.008136763769135946
85.0,"(2, 5)",3.0029078985365167,10.707884436204052,0.000721910807987323,0.007903053021119568
86.0,"(2, 4)",2.7844691288112626,11.032820427922154,0.0006121339499961337,0.007645302612980145
87.0,"(2, 3)",2.930767644205272,11.412001418415327,0.000533059506497998,0.007366288233827996
88.0,"(2, 2)",2.9790614208735122,11.863645673411048,0.00047497321377307136,0.007071220888673456
89.0,"(2, 1)",2.99289442142706,12.408396650821487,0.00042976145108309467,0.006766715407503889
101.0,"(3, 7)",3.201570201341729,10.105764630661813,0.0010506837649823166,0.009140118542717023
102.0,"(3, 6)",3.152883901915706,10.349427003226825,0.0016516443042840644,0.008886329615097437
103.0,"(3, 5)",3.056364244566287,10.61257493189518,0.0009185505548991021,0.008605853330413322
104.0,"(3, 4)",2.9639333354338513,10.910631692500546,0.0006855397102230959,0.008295304453516106
105.0,"(3, 3)",2.9683289209191805,11.25968287468402,0.0005749495929872155,0.007957541252152587
106.0,"(3, 2)",2.9754978059973,11.674772321466753,0.0005034434442981874,0.007600113724178586
107.0,"(3, 1)",2.9595405513518744,12.169353519257104,0.0004506557332954458,0.007232809797571684
117.0,"(4, 9)",3.4232867738169093,9.615391099199725,0.0009017048662756335,0.01067194241032136
118.0,"(4, 8)",3.2984280106391215,9.840539680822232,0.0009355154888254081,0.010360870497870468
119.0,"(4, 7)",3.1368551796000284,10.05804150316396,0.0011020832053695291,0.010071723817915795
120.0,"(4, 6)",3.053744210167629,10.276004059787,0.001474427143855942,0.009772163559279828
121.0,"(4, 5)",3.027194326771394,10.50853487776848,0.0009539998075754778,0.009438749354673898
122.0,"(4, 4)",2.9713875918539565,10.773438518196297,0.0007235173846035508,0.009062707129300313
123.0,"(4, 3)",2.9842846917882757,11.086775934656785,0.0006045707396933872,0.008648486454296892
124.0,"(4, 2)",2.95871730178412,11.459405021141702,0.0005259155980854343,0.008208795357538209
125.0,"(4, 1)",2.873759758830359,11.89672319057095,0.0004678580577300935,0.0077592586332371274
126.0,"(4, 0)",2.948480819492903,12.397930855371818,0.00042244274955543517,0.007314453852116861
133.0,"(5, 11)",3.3906574146738317,9.148299042293075,0.001116546157179286,0.01334479588477673
134.0,"(5, 10)",3.34138466830588,9.38774021083033,0.001077115126328387,0.01250366757289081
135.0,"(5, 9)",3.26491112269185,9.612200094919567,0.0010217060106749195,0.011912861225315818
136.0,"(5, 8)",3.21264446657619,9.821841327470743,0.0010008054492559038,0.011506681919071466
137.0,"(5, 7)",3.1598063478732836,10.017097932182873,0.0010208092821068272,0.011177444887267466
138.0,"(5, 6)",3.0610000270167825,10.204153469397308,0.0010058450655711414,0.010841766036715782
139.0,"(5, 5)",2.954615892333221,10.400156686381077,0.0008754779295506258,0.010450826849770577
140.0,"(5, 4)",3.036791624446934,10.62854701082077,0.0007310411477088763,0.00999026654475923
141.0,"(5, 3)",3.0328699991038466,10.90604121176923,0.0006217859384150725,0.009471446664347743
142.0,"(5, 2)",2.9902991983395757,11.237814708656908,0.0005414956202582787,0.008918534578713827
143.0,"(5, 1)",2.632744189216124,11.62120565046354,0.0004805557218352474,0.00835784059808993
144.0,"(5, 0)",2.942001841004488,12.047582207000254,0.00043263432189887555,0.007811485767619894
150.0,"(6, 12)",3.465808931342814,8.949604084268675,0.0014613532561971985,0.01979543426252585
151.0,"(6, 11)",3.4865472495542935,9.185859588121646,0.0015146814939249347,0.01606776403900204
152.0,"(6, 10)",3.302858771739846,9.40894675070382,0.0013777452718561512,0.014164263292453615
153.0,"(6, 9)",3.252374231022771,9.619215331371286,0.001172755002526646,0.013285059130412964
154.0,"(6, 8)",3.238830108988953,9.813224572757994,0.0010927078785621402,0.012833087829831405
155.0,"(6, 7)",3.157146665982312,9.985550138593974,0.0010949040314222934,0.012520613715831214
156.0,"(6, 6)",2.9952217566870507,10.137107356862622,0.0010473212819314668,0.01218087087683805
157.0,"(6, 5)",3.055994664285251,10.290638506157778,0.0008898085904342827,0.011727865659406603
158.0,"(6, 4)",3.1086899286815504,10.48299248409255,0.0007424990289185199,0.011148258345908043
159.0,"(6, 3)",3.052244905275555,10.730508384374838,0.0006325690718099661,0.010475609795849161
160.0,"(6, 2)",3.0031479345273073,11.02834113155753,0.0005509687928751302,0.00975859988095542
161.0,"(6, 1)",2.957913557950249,11.3660429066237,0.0004885669995152733,0.00904225390360634
165.0,"(7, 15)",3.506094871633146,8.308877091972027,0.0014401104076721852,0.015587469032855966
166.0,"(7, 14)",3.4968453150109093,8.569787060064012,0.0018154403410785354,0.018485991591175803
