rowCol,hw_len,rd_len,num_intersection
115,'(4, 2)',2037.18354745,3540.81618358,1.0
116,'(4, 3)',3016.40760681,3281.6869386999997,0.0
117,'(4, 4)',2487.95212996,7149.66770161,1.0
118,'(4, 5)',623.55228502,25713.373085799998,50.0
119,'(4, 6)',0.0,34086.8744628,73.0
120,'(4, 7)',0.0,11557.645363299998,26.0
121,'(4, 8)',0.0,8870.69064408,6.0
122,'(4, 9)',0.0,4731.33491087,1.0
123,'(4, 10)',0.0,1010.52148846,0.0
124,'(4, 11)',0.0,953.525109072,0.0
125,'(4, 12)',0.0,0.0,0.0
126,'(4, 13)',0.0,4825.72872711,0.0
127,'(4, 14)',0.0,2890.17360752,1.0
128,'(4, 15)',0.0,4684.97235648,0.0
129,'(4, 16)',0.0,967.0198776469999,0.0
130,'(4, 17)',0.0,0.0,0.0
131,'(4, 18)',0.0,3038.50338778,0.0
132,'(4, 19)',0.0,1320.81753904,0.0
133,'(4, 20)',0.0,4357.92900361,1.0
134,'(4, 21)',0.0,1936.0836788,0.0
135,'(4, 22)',0.0,6895.78929031,1.0
136,'(4, 23)',0.0,6425.25283844,3.0
137,'(4, 24)',0.0,12430.792671500001,9.0
138,'(4, 25)',0.0,8762.88591093,1.0
139,'(4, 26)',0.0,2189.63009303,0.0
140,'(4, 27)',0.0,6714.5946409,2.0
141,'(4, 28)',0.0,5543.27592378,1.0
142,'(4, 29)',0.0,0.0,0.0
143,'(4, 30)',0.0,0.0,0.0
144,'(4, 31)',0.0,0.0,0.0
145,'(4, 32)',0.0,0.0,0.0
146,'(4, 33)',0.0,6649.67790759,2.0
147,'(4, 34)',0.0,8359.61081096,3.0
148,'(4, 35)',0.0,0.0,0.0
149,'(4, 36)',0.0,0.0,0.0
150,'(4, 37)',0.0,1268.03416219,0.0
151,'(4, 38)',0.0,5401.51029496,1.0
152,'(5, 1)',3047.54691793,2181.42719366,0.0
153,'(5, 2)',688.871872885,6362.56346141,6.0
154,'(5, 3)',0.0,16433.7150593,25.0
155,'(5, 4)',0.0,10576.2028544,17.0
156,'(5, 5)',2997.66708213,22400.7819552,39.0
157,'(5, 6)',1376.21049512,28620.8833666,50.0
158,'(5, 7)',0.0,19188.4984533,25.0
159,'(5, 8)',0.0,13084.224827799999,12.0
